snr	1	0.98	0.96	0.94	0.92	0.9	0.88	0.86	0.84	0.82	0.8	0.78	0.76	0.74	0.72	0.7	0.68	0.66	0.64	0.62	0.6	0.58	0.56	0.54	0.52	0.5
6	1.06E-04	1.08E-04	1.10E-04	1.12E-04	1.15E-04	1.25E-04	1.29E-04	1.36E-04	1.48E-04	1.55E-04	1.59E-04	1.87E-04	2.02E-04	2.13E-04	2.33E-04	2.72E-04	3.08E-04	3.26E-04	4.03E-04	4.47E-04	4.96E-04	5.35E-04	6.48E-04	7.44E-04	7.98E-04	9.74E-04
6.25	7.28E-05	7.67E-05	7.61E-05	7.43E-05	8.89E-05	8.85E-05	9.09E-05	9.62E-05	1.09E-04	1.19E-04	1.19E-04	1.46E-04	1.50E-04	1.58E-04	1.79E-04	2.03E-04	2.28E-04	2.37E-04	2.93E-04	3.19E-04	3.63E-04	3.90E-04	4.93E-04	5.54E-04	6.20E-04	7.74E-04
6.5	5.04E-05	5.23E-05	5.31E-05	5.45E-05	5.98E-05	6.40E-05	6.87E-05	7.05E-05	8.19E-05	8.24E-05	8.90E-05	1.06E-04	1.16E-04	1.27E-04	1.34E-04	1.56E-04	1.76E-04	1.81E-04	2.24E-04	2.53E-04	2.68E-04	2.95E-04	3.78E-04	4.04E-04	4.54E-04	5.92E-04
6.75	3.06E-05	3.22E-05	3.53E-05	3.78E-05	4.14E-05	4.31E-05	4.58E-05	5.18E-05	6.05E-05	6.13E-05	6.63E-05	7.94E-05	8.30E-05	9.25E-05	1.00E-04	1.17E-04	1.30E-04	1.42E-04	1.65E-04	1.77E-04	2.00E-04	2.28E-04	2.78E-04	3.19E-04	3.43E-04	4.34E-04
7	2.16E-05	2.08E-05	2.28E-05	2.36E-05	2.86E-05	3.20E-05	3.35E-05	3.67E-05	4.27E-05	4.58E-05	5.09E-05	5.86E-05	6.09E-05	6.82E-05	7.40E-05	8.71E-05	9.40E-05	1.05E-04	1.24E-04	1.34E-04	1.45E-04	1.69E-04	2.04E-04	2.31E-04	2.52E-04	3.08E-04
7.25	1.33E-05	1.31E-05	1.45E-05	1.51E-05	1.86E-05	2.07E-05	2.24E-05	2.45E-05	2.89E-05	3.08E-05	3.36E-05	4.03E-05	4.34E-05	5.04E-05	5.27E-05	6.14E-05	6.99E-05	7.28E-05	8.96E-05	9.82E-05	1.03E-04	1.25E-04	1.49E-04	1.69E-04	1.86E-04	2.24E-04
7.5	7.41E-06	8.35E-06	9.48E-06	9.46E-06	1.22E-05	1.31E-05	1.50E-05	1.75E-05	1.98E-05	2.20E-05	2.18E-05	2.71E-05	3.00E-05	3.33E-05	3.54E-05	4.24E-05	4.80E-05	5.15E-05	6.31E-05	6.80E-05	7.62E-05	8.46E-05	1.06E-04	1.24E-04	1.31E-04	1.73E-04
7.75	4.60E-06	4.51E-06	5.34E-06	6.20E-06	7.35E-06	8.50E-06	9.26E-06	1.03E-05	1.16E-05	1.41E-05	1.39E-05	1.74E-05	1.86E-05	2.22E-05	2.38E-05	2.79E-05	3.07E-05	3.45E-05	4.07E-05	4.53E-05	5.01E-05	5.76E-05	7.19E-05	8.19E-05	9.25E-05	1.14E-04
8	2.18E-06	2.33E-06	3.02E-06	3.43E-06	4.37E-06	4.92E-06	5.73E-06	5.73E-06	7.25E-06	8.21E-06	8.35E-06	1.14E-05	1.26E-05	1.31E-05	1.48E-05	1.78E-05	2.02E-05	2.14E-05	2.56E-05	2.91E-05	3.35E-05	3.89E-05	4.84E-05	5.56E-05	6.18E-05	7.88E-05
8.25	1.20E-06	1.36E-06	1.53E-06	2.13E-06	2.27E-06	2.89E-06	3.10E-06	3.16E-06	3.69E-06	4.81E-06	4.94E-06	6.73E-06	6.62E-06	7.70E-06	8.67E-06	1.09E-05	1.23E-05	1.39E-05	1.76E-05	1.83E-05	2.16E-05	2.31E-05	3.04E-05	3.42E-05	4.09E-05	5.23E-05
8.5	5.56E-07	6.94E-07	1.02E-06	1.19E-06	1.37E-06	1.50E-06	1.47E-06	1.94E-06	2.30E-06	2.99E-06	2.87E-06	3.90E-06	4.68E-06	4.54E-06	4.92E-06	6.16E-06	7.19E-06	8.02E-06	9.75E-06	1.10E-05	1.31E-05	1.47E-05	1.80E-05	2.01E-05	2.42E-05	3.37E-05
8.75	3.40E-07	1.23E-07	4.01E-07	6.79E-07	7.87E-07	6.48E-07	8.02E-07	1.00E-06	1.16E-06	1.81E-06	1.45E-06	2.13E-06	2.25E-06	2.53E-06	3.09E-06	3.53E-06	3.77E-06	4.52E-06	5.56E-06	6.77E-06	7.44E-06	7.84E-06	1.15E-05	1.30E-05	1.48E-05	2.14E-05
9	1.85E-07	1.70E-07	1.54E-07	2.16E-07	2.16E-07	2.31E-07	3.40E-07	6.17E-07	8.02E-07	8.18E-07	1.05E-06	1.19E-06	1.14E-06	1.54E-06	1.40E-06	1.85E-06	2.27E-06	2.87E-06	3.64E-06	3.72E-06	3.98E-06	5.45E-06	6.30E-06	7.52E-06	8.97E-06	1.21E-05
9.25	4.63E-08	7.72E-08	6.17E-08	1.23E-07	1.23E-07	2.01E-07	2.01E-07	1.08E-07	2.16E-07	4.48E-07	3.24E-07	5.25E-07	6.64E-07	8.33E-07	8.18E-07	8.95E-07	1.39E-06	1.44E-06	1.77E-06	2.07E-06	2.44E-06	3.02E-06	3.98E-06	4.26E-06	4.85E-06	6.60E-06
9.5	4.63E-08	3.09E-08	4.63E-08	0.00E+00	1.08E-07	9.26E-08	6.17E-08	1.70E-07	1.39E-07	2.01E-07	1.39E-07	2.78E-07	3.24E-07	3.09E-07	3.70E-07	5.71E-07	5.09E-07	7.41E-07	1.00E-06	1.14E-06	1.11E-06	1.62E-06	1.79E-06	2.01E-06	2.52E-06	3.95E-06
9.75	0.00E+00	0.00E+00	4.63E-08	6.17E-08	4.63E-08	7.72E-08	4.63E-08	1.54E-08	4.63E-08	3.09E-08	4.63E-08	1.23E-07	2.01E-07	1.39E-07	2.16E-07	1.54E-07	3.24E-07	3.40E-07	4.78E-07	4.48E-07	7.10E-07	6.48E-07	1.05E-06	1.36E-06	1.60E-06	2.18E-06
10	0.00E+00	0.00E+00	1.54E-08	0.00E+00	0.00E+00	0.00E+00	1.54E-08	0.00E+00	1.54E-08	1.54E-08	3.09E-08	3.09E-08	6.17E-08	6.17E-08	9.26E-08	7.72E-08	1.08E-07	1.70E-07	2.62E-07	2.16E-07	3.40E-07	2.78E-07	4.94E-07	5.09E-07	8.02E-07	1.16E-06 
